                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91255,                0.60822,                0.90134,                0.98079,                0.98218,                0.98859,                0.78517,                0.81426,                 0.5081,                0.88467,             0.00039008,             0.00039008,             0.00039008
                     37,                0.92423,                0.59391,                0.90019,                0.97541,                0.97594,                0.98622,                0.77849,                0.81481,                0.51891,                0.88919,             0.00038426,             0.00038426,             0.00038426
                     38,                 0.9048,                0.58678,                0.90393,                0.96168,                 0.9839,                0.98503,                0.78387,                 0.8059,                 0.5141,                 0.8878,             0.00037844,             0.00037844,             0.00037844
                     39,                0.90593,                0.58972,                0.89624,                0.97002,                0.98309,                0.98581,                0.78518,                0.79779,                0.50851,                0.88003,             0.00037262,             0.00037262,             0.00037262
                     40,                0.92242,                 0.5862,                0.90092,                0.97772,                0.98031,                0.98577,                0.78499,                0.81688,                0.51287,                0.88643,             0.00036679,             0.00036679,             0.00036679
                     41,                0.90728,                0.57355,                 0.9042,                0.96937,                0.97977,                0.98684,                0.78798,                0.80241,                0.50542,                0.88682,             0.00036097,             0.00036097,             0.00036097
                     42,                0.89871,                0.56826,                0.89752,                0.97976,                0.97029,                0.98751,                0.78052,                0.83396,                   0.51,                0.89011,             0.00035515,             0.00035515,             0.00035515
                     43,                 0.8974,                0.56709,                0.90062,                  0.962,                 0.9762,                 0.9828,                0.78783,                0.80421,                0.50201,                0.88554,             0.00034933,             0.00034933,             0.00034933
                     44,                0.90204,                 0.5667,                0.90467,                0.97179,                0.97574,                0.98433,                0.78746,                 0.7943,                 0.4827,                0.88773,             0.00034351,             0.00034351,             0.00034351
                     45,                0.89101,                0.56764,                0.89947,                0.97579,                0.98883,                0.98626,                0.79099,                 0.7869,                0.47616,                0.88162,             0.00033769,             0.00033769,             0.00033769
                     46,                0.87984,                0.55102,                0.90004,                0.97018,                0.98156,                0.98529,                0.78554,                0.78741,                0.48243,                0.88261,             0.00033187,             0.00033187,             0.00033187
                     47,                 0.8937,                0.55449,                0.89884,                0.96847,                0.97963,                0.98561,                0.78629,                0.80176,                0.49065,                0.88182,             0.00032605,             0.00032605,             0.00032605
                     48,                0.91055,                0.54906,                0.90285,                0.97386,                0.97827,                0.98757,                 0.7891,                0.80217,                0.46371,                0.88388,             0.00032022,             0.00032022,             0.00032022
                     49,                0.88078,                0.54821,                0.89432,                0.94869,                0.98066,                0.98703,                0.77586,                0.84249,                 0.4969,                 0.8881,              0.0003144,              0.0003144,              0.0003144
                     50,                0.90048,                0.54854,                0.89683,                0.96687,                0.98424,                0.98776,                0.79672,                0.78679,                0.48555,                0.88062,             0.00030858,             0.00030858,             0.00030858
                     51,                0.88701,                 0.5466,                0.89536,                0.97008,                0.97372,                0.98524,                0.78335,                0.82345,                0.48557,                0.88806,             0.00030276,             0.00030276,             0.00030276
                     52,                0.86241,                0.52737,                0.89426,                0.96222,                0.97475,                0.98609,                 0.7903,                0.79206,                0.47334,                0.88012,             0.00029694,             0.00029694,             0.00029694
                     53,                0.88719,                 0.5299,                0.89345,                0.97932,                0.98296,                0.98928,                0.79609,                0.78536,                0.45735,                0.88148,             0.00029112,             0.00029112,             0.00029112
                     54,                0.86779,                0.52316,                 0.8957,                0.96896,                0.97666,                0.98815,                0.79121,                0.80495,                0.47029,                0.88169,              0.0002853,              0.0002853,              0.0002853
                     55,                 0.8606,                0.52078,                0.89432,                0.98108,                0.97506,                0.98699,                0.79761,                0.79155,                0.45708,                0.88164,             0.00027948,             0.00027948,             0.00027948
                     56,                0.85177,                0.51602,                0.89047,                0.96205,                0.98156,                0.98735,                0.79337,                0.78584,                0.45914,                0.88139,             0.00027366,             0.00027366,             0.00027366
                     57,                0.85407,                0.52628,                 0.8918,                0.97554,                0.98714,                0.98543,                0.79465,                0.79438,                 0.4486,                0.88498,             0.00026783,             0.00026783,             0.00026783
                     58,                0.85786,                0.52469,                0.88984,                0.97156,                0.97844,                0.98507,                0.79096,                0.79411,                0.45559,                0.88417,             0.00026201,             0.00026201,             0.00026201
                     59,                 0.8608,                 0.5183,                0.89137,                0.97261,                0.97946,                0.98684,                0.79865,                0.77704,                 0.4453,                0.88093,             0.00025619,             0.00025619,             0.00025619
                     60,                0.85223,                0.51661,                0.89161,                 0.9661,                0.97604,                  0.988,                0.79631,                0.78411,                0.45251,                0.88079,             0.00025037,             0.00025037,             0.00025037
                     61,                0.84981,                0.50313,                0.89179,                0.97584,                0.98491,                0.98709,                0.78497,                 0.8233,                0.44823,                0.89127,             0.00024455,             0.00024455,             0.00024455
                     62,                0.85919,                0.50929,                0.89271,                0.97618,                 0.9767,                0.98778,                0.80366,                0.77789,                0.43993,                0.87823,             0.00023873,             0.00023873,             0.00023873
                     63,                0.86276,                0.51345,                0.89836,                0.96548,                0.98095,                0.98562,                0.79956,                0.78015,                 0.4408,                0.88197,             0.00023291,             0.00023291,             0.00023291
                     64,                0.86279,                0.50962,                 0.9008,                0.97758,                0.98609,                0.98563,                0.77733,                0.84882,                0.45323,                0.89585,             0.00022709,             0.00022709,             0.00022709
                     65,                0.85824,                0.51109,                0.89805,                0.97163,                0.98567,                0.98717,                0.78757,                 0.8096,                0.44735,                0.88558,             0.00022126,             0.00022126,             0.00022126
                     66,                0.85078,                0.50921,                0.89438,                0.96547,                 0.9876,                0.98626,                0.79443,                0.79673,                0.44045,                0.88277,             0.00021544,             0.00021544,             0.00021544
                     67,                0.84061,                0.50123,                0.88644,                0.97263,                0.97804,                0.98786,                0.78977,                0.82001,                0.44032,                0.88844,             0.00020962,             0.00020962,             0.00020962
                     68,                0.83145,                0.49666,                0.88214,                0.98105,                0.97144,                0.98696,                 0.7983,                0.77876,                0.43314,                0.88255,              0.0002038,              0.0002038,              0.0002038
                     69,                0.83783,                0.49221,                0.88742,                0.97865,                0.98451,                0.98656,                0.78747,                0.82283,                0.43657,                0.88877,             0.00019798,             0.00019798,             0.00019798
                     70,                0.84274,                0.49275,                0.89191,                0.97916,                0.97936,                0.98742,                0.78531,                0.81709,                0.43631,                0.89064,             0.00019216,             0.00019216,             0.00019216
                     71,                0.84224,                0.48484,                0.88781,                0.97841,                0.98693,                0.98656,                0.77688,                0.84317,                0.43664,                0.89075,             0.00018634,             0.00018634,             0.00018634
                     72,                0.80997,                0.47565,                 0.8825,                0.98069,                 0.9841,                0.98659,                0.79676,                0.76853,                0.42315,                0.87925,             0.00018052,             0.00018052,             0.00018052
                     73,                0.81794,                 0.4788,                0.87929,                0.97824,                0.99004,                0.98649,                0.79625,                0.78241,                 0.4262,                0.88312,             0.00017469,             0.00017469,             0.00017469
                     74,                0.82331,                0.47901,                0.88773,                0.98228,                 0.9843,                0.98676,                0.79048,                 0.8043,                0.42762,                0.88849,             0.00016887,             0.00016887,             0.00016887
                     75,                  0.826,                0.48256,                0.88281,                0.98137,                0.98613,                 0.9859,                0.79502,                0.78369,                0.42834,                0.88309,             0.00016305,             0.00016305,             0.00016305
                     76,                0.80827,                 0.4766,                0.88253,                0.98143,                0.98403,                0.98815,                0.79664,                0.77697,                0.42095,                0.88278,             0.00015723,             0.00015723,             0.00015723
                     77,                0.81041,                0.47917,                0.88201,                0.98451,                0.98607,                 0.9879,                0.79174,                0.78608,                0.42104,                0.88288,             0.00015141,             0.00015141,             0.00015141
                     78,                 0.8148,                0.47737,                0.88996,                0.97589,                0.98596,                0.98703,                0.79332,                0.78611,                0.42701,                0.88424,             0.00014559,             0.00014559,             0.00014559
                     79,                0.81425,                0.47325,                0.88061,                0.97891,                0.98556,                0.98664,                0.79998,                0.78125,                0.42257,                0.88277,             0.00013977,             0.00013977,             0.00013977
                     80,                0.79125,                0.46701,                0.87594,                0.97308,                0.98086,                0.98664,                0.79276,                0.78763,                0.41677,                0.88447,             0.00013395,             0.00013395,             0.00013395
                     81,                0.80398,                0.46631,                0.88104,                0.97231,                0.97821,                0.98441,                0.79433,                 0.7893,                0.41998,                0.88444,             0.00012813,             0.00012813,             0.00012813
                     82,                0.79413,                0.46399,                0.87552,                0.97655,                0.97989,                0.98583,                0.79308,                0.79343,                0.42021,                0.88475,              0.0001223,              0.0001223,              0.0001223
                     83,                0.79315,                0.46737,                0.87997,                 0.9767,                0.97878,                0.98742,                0.79829,                0.78926,                0.41888,                0.88629,             0.00011648,             0.00011648,             0.00011648
                     84,                 0.8021,                0.46726,                0.88197,                0.97515,                0.97942,                0.98869,                0.80392,                0.77088,                0.41375,                 0.8786,             0.00011066,             0.00011066,             0.00011066
                     85,                0.79333,                0.46831,                0.88329,                0.97529,                0.97673,                0.98865,                0.80178,                  0.781,                0.41686,                 0.8821,             0.00010484,             0.00010484,             0.00010484
                     86,                0.78784,                0.46111,                0.88292,                0.97629,                0.97834,                0.98841,                0.80334,                0.79062,                0.41221,                0.88338,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 0.7919,                0.46657,                 0.8812,                0.97351,                0.97728,                0.98773,                0.79585,                0.79096,                0.41941,                0.88489,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                0.78536,                 0.4611,                0.87781,                0.97307,                0.98043,                0.98702,                0.79676,                0.78697,                0.41807,                 0.8843,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.78689,                0.46567,                0.87609,                0.97933,                 0.9836,                0.98645,                0.79321,                0.79559,                 0.4132,                0.88906,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                  0.783,                0.46739,                0.87541,                0.97879,                0.98174,                0.98697,                0.79411,                0.78279,                0.41038,                0.88319,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.77388,                 0.4369,                0.88542,                0.97749,                0.98147,                0.98594,                0.78731,                0.82336,                0.42113,                0.89197,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.74955,                  0.427,                0.87964,                0.97763,                0.97341,                0.98685,                0.79343,                0.80765,                0.42572,                0.88892,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.75117,                0.43234,                0.88581,                 0.9772,                0.98103,                0.98696,                0.78857,                0.79832,                0.41999,                0.88635,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                  0.738,                0.42003,                 0.8797,                0.98051,                0.98087,                0.98595,                0.78709,                0.81293,                0.41862,                0.88904,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.74459,                0.41929,                0.88421,                0.97984,                0.98155,                0.98689,                0.79522,                0.78639,                0.41495,                0.88473,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.72729,                0.41068,                0.87523,                0.97582,                0.98144,                0.98681,                0.79833,                0.78607,                0.41177,                0.88567,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.72028,                0.41135,                0.87156,                0.97436,                0.98161,                 0.9869,                 0.7958,                0.79251,                0.40976,                0.88488,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.72496,                0.41331,                 0.8749,                 0.9761,                0.98041,                0.98676,                0.79506,                0.79034,                0.40908,                0.88637,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.71901,                0.41171,                0.87398,                0.98023,                0.97786,                0.98704,                 0.7975,                0.79027,                0.40794,                0.88489,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                  0.721,                0.40908,                0.87549,                0.97693,                0.97965,                0.98684,                0.79775,                0.79211,                0.40925,                0.88572,             1.7522e-05,             1.7522e-05,             1.7522e-05
